BTH,data centers|bethesda|Bethesda|NA|NA|Bethesda Datacenter|Bethesda|HMSHost Corporation|0|NA|NA|#N/D|39.027677|-77.139111
DC,data centers|ashburn|Ashburn|NA|NA|DataCenter|Ashburn|Ashburn Datacenter|0|NA|NA|#N/D|39.015919|-77.42234
DC,data centers|azure|Azure|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
DC,data centers|bethesda|Bethesda|NA|NA|Bethesda Datacenter|Bethesda|HMSHost Corporation|0|NA|NA|#N/D|39.027677|-77.139111
DC,united states|virginia|Reagan National Airport  ( DCA )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
ELSCD,canada|montreal airport  ( yul )|Montreal Airport  ( YUL )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HFBOS,united states|massachusetts|Boston - Logan Int'l AP - BOS|NA|BOSTON AP|Boston Airport AA|Boston - Logan Int'l AP - BOS|General Edward Lawrence Logan International Airport|0|NA|NA|BOS|42.36429977|-71.00520325
HFBOS,united states|massachusetts|Boston Warehouse|NA|BOSTON AP|Boston Warehouse (No CB)|Boston Warehouse|General Edward Lawrence Logan International Airport|0|NA|NA|#N/D|42.36429977|-71.00520325
HFBSR,united states|massachusetts|Boston Warehouse|NA|BOSTON AP|Boston Warehouse (No CB)|Boston Warehouse|General Edward Lawrence Logan International Airport|0|NA|NA|#N/D|42.36429977|-71.00520325
HFCAL,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|NA|Calgary Airport|Calgary Airport|North Bay Jack Garland Airport|0|NA|NA|YYC|46.363602|-79.422798
HFCHW,united states|north carolina|Charlotte AP - Remote Office|NA|CHARLOTTE AP|Charlotte AP - Remote Office|Charlotte AP - Remote Office|Charlotte Douglas International Airport|0|NA|NA|JFK|35.2140007|-80.94309998
HFCLT,united states|north carolina|Charlotte AP - Warehouse (On CradlePoint)|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HFCMH,kiosks / servers / middleware devices|pga kiosks / servers|NA|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|NA|NA|CMH|39.998001|-82.891899
HFCMH,united states|ohio|Columbus Airport|NA|COLUMBUS AP|John Glenn Columbus Intl Airpo|Columbus Airport|John Glenn Columbus International Airport|0|NA|NA|CMH|39.998001|-82.891899
HFDEN,united states|colorado|Denver Airport|NA|DENVER AP|Denver International Airport|Denver Airport|Denver International Airport|0|NA|NA|DEN|39.86169815|-104.6729965
HFDLF,united states|texas|Dallas-Love Airport - DAL|NA|DALLAS LOVE FIELD AP|Dallas Love Field Airport F&B|Dallas-Love Airport - DAL|Dallas Love Field|0|NA|NA|DAL|32.847099|-96.851799
HFFAI,united states|alaska|Fairbanks AP (No Cloud Bridge)|NA|FAIRBANKS AP|Fairbanks Int'l Airport F&B|Fairbanks AP (No Cloud Bridge)|Fairbanks International Airport|0|NA|NA|FAI|64.81510162|-147.8560028
HFFLL,united states|florida|Ft. Lauderdale Intl AP - FLL|NA|FORT LAUDERDALE AP|Fort Lauderdale Airport F&B|Ft. Lauderdale Intl AP - FLL|Fort Lauderdale Hollywood International Airport|0|NA|NA|FLL|26.072599|-80.152702
HFHFX,canada|halifax airport|Halifax Airport|NA|NA|Halifax Airport|Halifax Airport|Hay River / Merlyn Carter Airport|0|NA|NA|YHZ|60.83969879|-115.7829971
HFHNL,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|HONOLULU AP|Honolulu Airport F&B|Honolulu|Daniel K Inouye International Airport|0|NA|NA|HNL|21.32062|-157.924228
HFHNL,kiosks / servers / middleware devices|cpk kiosks / servers|NA|NA|HONOLULU AP|Honolulu Airport F&B|Honolulu|Daniel K Inouye International Airport|0|NA|NA|HNL|21.32062|-157.924228
HFHNL,united states|hawaii|Honolulu  ( HNL )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HFIAD,united states|virginia|Dulles Int'l Airport|NA|WASH DULLES AP|Dulles International F&B|Dulles Int'l Airport|Washington Dulles International Airport|0|NA|NA|IAD|38.94449997|-77.45580292
